N.,Denominaci�n,Departamento,Provincia,Distrito,�rea
157,Asociacion Civil Para La Mitigacion De Impactos De Cambio Climatico - Micacli,Ucayali,Ucayali,Calleria,ambiente / género
158,Asociacion Civil Para La Preservacion Y El Desarrollo Sostenible De La Amazonia,Lima,Lima,Miraflores,ambiente
159,Asociacion Civil Peru Nacion Solidario,Lima,Lima,Chorrillos,inclusión social / justicia
160,Asociacion Civil Planta Tu Futuro,Lima,Lima,Miraflores,ambiente / educación
161,"Asociacion Civil Por La Salud, La Educacion Y El Trabajo",Lima,Lima,Pueblo Libre,agropecuario / educación / energía/extractiva / género
162,"Asociacion Civil Por La Salud, La Educacion Y El Trabajo Los Hijos Del Sol",Lima,Lima,Jesus Maria,educación / trabajo
163,Asociacion Civil Promotora Del Centro Cultural Intelligent Plus,La Libertad,La Libertad,Trujillo,educación
164,Asociacion Civil Prorural,Lima,Lima,San Isidro,educación
165,Asociacion Civil Proyecto Amazonas,Loreto,Loreto,Iquitos,agropecuario / ambiente / ciencia y tecnología / educación / gobernabilidad / producción / salud
166,Asociacion Civil Puririsun,Cusco,Cusco,Santiago,educación / género
167,Asociacion Civil Religiosa Diospi Suyana,Apurimac,Apurimac,Curahuasi,educación / salud
168,Asociacion Civil Religiosa San Andres Solidaridad Y Desarrollo,Ancash,Ancash,Nuevo Chimbote,ambiente / educación
169,Asociacion Civil Santa Ana,Lambayeque,Lambayeque,Jose Leonardo Ortiz,educación / género
170,Asociacion Civil Santa Teresa - Abancay,Apurimac,Apurimac,Abancay,género
171,Asociacion Civil Selva Amazonica,Loreto,Loreto,Iquitos,salud
172,Asociacion Civil Sin Fines De Lucro Abrazos,Cusco,Cusco,Santiago,salud
173,Asociacion Civil Sin Fines De Lucro Los Niños Del Peru,Cusco,Cusco,San Sebastian,género / salud
174,Asociacion Civil Sin Fines De Lucro Mujer Asertiva Mv,Lima,Lima,San Miguel,género
175,Asociacion Civil Sin Fines De Lucro Mundo Primaveral,La Libertad,La Libertad,Tayabamba,ambiente / educación / género / salud
176,Asociacion Civil Solidarios Abc,Lima,Lima,Miraflores,género / salud
177,Asociacion Civil Tierra Prometida Del Milenio,Lambayeque,Lambayeque,Chiclayo,educación
178,Asociacion Civil Trabajando Por Los Pobres Del Peru,Lima,Lima,Santiago De Surco,género / producción / vivienda y saneamiento
