N.,Denominaci�n,Departamento,Provincia,Distrito,�rea
782,Comite Central De Palmicultores De Ucayali,Ucayali,Ucayali,Calleria,agropecuario
783,Comite De America Latina Y El Caribe Para La Defensa De Los Derechos De Las Mujeres. Cladem,Lima,Lima,Jesus Maria,ciencia y tecnología / cultura / educación / género / gobernabilidad / inclusión social / justicia
784,"Comite De Vigilancia, Gestion Y Desarrollo Provincial De Pataz Residentes En Trujillo",La Libertad,La Libertad,Trujillo,género
785,Comunidad Campesina San Asencion De Racchicancha,Huanuco,Huanuco,Santa Maria Del Valle,educación
786,Comunidad Cristiana Missio Dei,La Libertad,La Libertad,El Porvenir,género
787,Comunidad Cristiana Reformada Peru Mission,La Libertad,La Libertad,Trujillo,educación
788,Con Nuestro Padre Celestial Movemos Montañas De Nuestra Selva Peruana,Cajamarca,Cajamarca,Jaen,ambiente / educación / género
789,Conocimiento Y Bienestar Life,Lima,Lima,Chorrillos,comercio y turismo / inclusión social
790,Consejo De Desarrollo Del Cooperativismo,Lima,Lima,San Juan De Lurigancho,agropecuario / ciencia y tecnología / economía / educación / género / gobernabilidad / producción / trabajo
791,Consejo De Juventudes Nacionales,Lima,Lima,Pueblo Libre,ciencia y tecnología / educación / género / gobernabilidad / inclusión social / justicia / salud
792,Consejo De La Prensa Peruana,Lima,Lima,Magdalena Del Mar,educación / gobernabilidad / justicia / transportes y comunicaciones
793,Conservaccion,Lima,Lima,San Isidro,ambiente / educación
794,Conservacion Ambiental Y Desarrollo En El Peru,Madre De Dios,Madre De Dios,Tambopata,ambiente / comercio y turismo / gobernabilidad
795,Conservacionistas De Ecosistemas Y Cuencas Sostenibles Organizacion No Gubernamental,San Martin,San Martin,Nueva Cajamarca,educación
796,"Conservando, Proyecto Cientifico Para La Conservacion Del Patrimonio",Lima,Lima,Santiago De Surco,cultura / educación
797,Conservar Peru,La Libertad,La Libertad,El Porvenir,cultura / educación / género / gobernabilidad
798,Consorcio De Investigacion Economica Y Social,Lima,Lima,Jesus Maria,producción
799,Consorcio De Organismos No Gubernamentales De Promocion De  Desarrollo De La Libertad,La Libertad,La Libertad,Trujillo,ambiente / comercio y turismo / cultura
800,Consorcio De Organizaciones Privadas De Promocion Al Desarrollo Dela Micro Y Pequeña Empresa,Lima,Lima,Lince,economía / género / gobernabilidad / producción / trabajo
801,Consorcio Empresarial De Promocion Y Asesoramiento Al Desarrollo Economico Social Peruano,Lima,Lima,Lima,educación
802,Consorcio Interinstitucional Para El Desarrollo Humano Y Territorial Antonio Raymondi,La Libertad,La Libertad,Trujillo,ciencia y tecnología
803,Consorcio Interinstitucional Para El Desarrollo Regional,Cajamarca,Cajamarca,Cajamarca,ambiente
804,Consorcio Para El Desarrollo Integral De La Niñez Y La Familia Andina,Lima,Lima,Lima,educación / género
805,Consorcio Para El Desarrollo Sostenible De La Ecorregion Andina,Lima,Lima,Surquillo,ambiente / género
806,Consorcio Para El Desarrollo Sostenible De Ucayali,Ucayali,Ucayali,Calleria,ciencia y tecnología
807,Construyendo Un Mundo Mejor,La Libertad,La Libertad,Chao,educación / salud
808,Consuelo Torres Tello De Los Pobres Y Proyectos Para El Desarrollo Sostenible,Lima,Lima,San Juan De Miraflores,ambiente / género
809,Consultores Y Ejecutores De Proyectos De Desarrollo Integral,Ayacucho,Ayacucho,Ayacucho,trabajo
810,Cooperaccion,Lima,Lima,Jesus Maria,ambiente / energía/extractiva / producción
811,Cooperacion Cristiana Para El Desarrollo,San Martin,San Martin,Moyobamba,educación
812,Cooperacion Integral Al Desarrollo Social Y Productivo,Lima,Lima,El Agustino,educación / salud
813,Cooperacion Para El Desarrollo De La Amazonia,Loreto,Loreto,Iquitos,ambiente / trabajo
814,Cooperacion Peruano Europea Para Sudamerica,Arequipa,Arequipa,Arequipa,educación / género
815,Coordinadora De Organizaciones Campesinas E Instituciones Agrarias Del Peru,Lima,Lima,Jesus Maria,ambiente / producción
816,Coordinadora Distrital De Comunidades Nativas De Pichari,Cusco,Cusco,Pichari,ambiente / género
817,Coordinadora Nacional De Derechos Humanos,Lima,Lima,Lince,educación / género / justicia
818,Coordinadora Nacional De Desarrollo Social Y Agropecuario Del Peru,Lima,Lima,San Juan De Lurigancho,educación / género
819,Coordinadora Por La Inversion Y El Trabajo Del Peru (Citperu),Lima,Lima,Magdalena Del Mar,producción / vivienda y saneamiento
820,Coordinadora Regional De Pueblos Indigenas De Aidesep Atalaya,Ucayali,Raymondi,Atalaya,ambiente /
821,Cops - Instituto De Cultura Y Orientacion Para El Desarrollo Personal Y Social,Ica,Ica,Ica,ambiente / economía / educación
822,Corazon Solidario,Huanuco,Huanuco,Huanuco,ambiente / género / producción / salud
823,Corazones Felices,Lima,Lima,San Martin De Porres,educación
824,Cordillera Los Andes,Lima,Lima,San Martin De Porres,agropecuario / educación / género
825,Corporacion De Desarrollo Ecologico Integrado - Cdei,Lima,Lima,Rimac,ambiente / educación / género
826,Corporacion De Desarrollo Sincos,Lima,Lima,Santiago De Surco,agropecuario / ambiente / comercio y turismo / producción
827,Corporacion Restauremos Nuestro Tiempo Adfer Mitawi - Con Caracter De Organismo No Gubernamental De Desarrollo,Puno,Puno,Puno,ambiente / educación / gobernabilidad
828,Corunum-Un Solo Corazon,Lambayeque,Lambayeque,Jose Leonardo Ortiz,agropecuario / ambiente / educación / salud
829,Crea Musica,Lima,Lima,Barranca,educación
830,Creation Peru,La Libertad,La Libertad,Trujillo,género / gobernabilidad / inclusión social
831,Crecimiento Integral Para Poblaciones En Desarrollo - Aciped,Junin,Junin,Pangoa,ambiente
832,Creser: Centro De Estudios Y Asesoria En Conductas De Riesgo Social Y Promocion Del Desarrollo Integral,Lima,Lima,Santiago De Surco,género / justicia
833,Cristianos Unidos,Lima,Lima,Santa Anita,educación / género
834,Cruz Verde Amazonica,San Martin,San Martin,Morales,ambiente
835,Cuerpo De Liderazgo Internacional Basado En Principios,Puno,Puno,Puno,ambiente / educación / género
836,Cultura Global,Lima,Lima,San Borja,educación
837,Dar Con Alegria,Lima,Lima,Lince,educación / género / inclusión social / salud / vivienda y saneamiento
838,Defendiendo La Vida,La Libertad,La Libertad,Trujillo,género / inclusión social / seguridad
839,Defensa Del Medio Ambiente Reforestacion Y Forestacion,La Libertad,La Libertad,La Esperanza,agropecuario / ambiente
840,Demus - Estudio Para La Defensa De Los Derechos De La Mujer,Lima,Lima,Jesus Maria,género / justicia
841,Deport Vida,La Libertad,La Libertad,Trujillo,género
842,"Derecho, Ambiente Y Recursos Naturales",Lima,Lima,Pueblo Libre,ambiente
843,Desarrollo Integral De Nuevo Pachacutec,Callao,Callao,Ventanilla,agropecuario / ciencia y tecnología / economía / educación / género / gobernabilidad / inclusión social / producción / salud / trabajo / vivienda y saneamiento
844,Desarrollo Integral Del Adolescente,Ayacucho,Ayacucho,Ayacucho,género
845,Desarrollo Urbano Sostenible,Lima,Lima,La Molina,vivienda y saneamiento
846,Desea Peru,Cusco,Cusco,Lamay,ambiente / salud
847,"Diaconia, Asociacion Evangelica Luterana De Ayuda Para El Desarrollo Comunal",Lima,Lima,Breña,agropecuario / gobernabilidad / salud / vivienda y saneamiento
848,Diversidad San Martinense,San Martin,San Martin,Tarapoto,salud
849,Dris / Desarrollo Rural Sustentable,Lima,Lima,Ate,ambiente / género
850,Eagle Condor Humanitarian Peru,Piura,Piura,Piura,inclusión social / producción
851,Eco Redd,Lima,Lima,Lince,ambiente / vivienda y saneamiento
852,Ecoceanica,Lima,Lima,San Borja,ambiente / educación
853,Ecologia Tecnologia Consultores B&M,Cajamarca,Cajamarca,Querocoto,ambiente / educación / género / gobernabilidad
854,"Ecosad - Consorcio Por La Salud, Ambiente Y Desarrollo",Lima,Lima,Lima,ambiente / género / salud
855,Ecoselva,Junin,Junin,Chanchamayo,agropecuario / ambiente / género / trabajo
856,Ecoswell,Lima,Lima,Miraflores,género
857,Educa. Impacta. Crece,Lima,Lima,Miraflores,género
858,Educacion Con Valores Para La Vida,La Libertad,La Libertad,Victor Larco Herrera,salud
859,"Educar Sembrando, Ongd",Lima,Lima,Santiago De Surco,educación / género / vivienda y saneamiento
860,Eduvida,Lima,Lima,Magdalena Del Mar,educación / salud
861,Ejecutor De Contrato De Administracion De La Reserva Comunal Amarakaeri,Madre De Dios,Madre De Dios,Tambopata,ambiente
862,Ejecutor De Contrato De Administracion De La Reserva Comunal Ashaninka (Eco-Ashaninka),Junin,Junin,Satipo,ambiente
863,Ejecutor Del Contrato De Administracion De La Reserva Comunal Purus,Ucayali,Ucayali,Purus,ambiente
864,El Canario Salvador,La Libertad,La Libertad,Trujillo,agropecuario / ambiente / educación / género / inclusión social / producción / vivienda y saneamiento
865,El Eden Del Divino Niño Jesus,Lima,Lima,Los Olivos,educación / género / salud
866,El Taller. Asociacion De Promocion Y Desarrollo,Arequipa,Arequipa,Arequipa,educación / producción
867,Empezamos Creciendo,Lima,Lima,Barranco,educación / género
868,Emprendedoras Del Hogar,Lima,Lima,Santiago De Surco,educación / género
869,Emprendedores Solidarios De Lambayeque - Emsolam,Lambayeque,Lambayeque,Chiclayo,género
870,Empresariado,Callao,Callao,Callao,educación / producción
871,Encuentros - Servicio Jesuita De La Solidaridad,Lima,Lima,Breña,gobernabilidad
872,"Energia, Ambiente Y Sostenibilidad",Cajamarca,Cajamarca,Cajamarca,ambiente
873,Enrumba,Lima,Lima,Miraflores,ambiente / educación / inclusión social / salud
874,Entre Pares Asociacion Para El Desarrollo Educativo Participativo Y Pertinente - Asociacion Entre Pares,Lima,Lima,Barranco,género / inclusión social
875,Equipo  De Promocion Y Capacitacion Amazonica,Junin,Junin,Satipo,agropecuario / ambiente / ciencia y tecnología / economía / género / gobernabilidad / inclusión social / trabajo
876,Equipo De Desarrollo Agropecuario De Cajamarca,Cajamarca,Cajamarca,Cajamarca,agropecuario / ambiente / ciencia y tecnología / educación / género / gobernabilidad
877,Equipo De Educacion Y Autogestion Social,Lima,Lima,Jesus Maria,ambiente / educación / género / gobernabilidad / trabajo / vivienda y saneamiento
878,Erart,Lima,Lima,Miraflores,salud
879,Escuela Campesina De Educacion Y Salud Señor Cautivo De Ayabaca,Lima,Lima,Magdalena Del Mar,agropecuario / ambiente / educación / género / gobernabilidad / vivienda y saneamiento
880,Escuela De Formacion Deportiva Y De Futbol Daniel Rios F.C.,Lima,Lima,Santiago De Surco,ambiente / economía / educación / género / gobernabilidad / salud / transportes y comunicaciones
881,Escuela Mayor De Gestion Municipal,Lima,Lima,Villa El Salvador,género
882,Escuela Para El Desarrollo,Lima,Lima,Magdalena Del Mar,género / inclusión social / producción
883,Escuela Superior De Alta Gerencia,Cusco,Cusco,Sicuani,economía
884,Espacio Comun,Lima,Lima,Barranco,salud
885,Etnoartes Asociacion Civil,Lima,Lima,San Borja,género
886,Familia Y Desarrollo,La Libertad,La Libertad,Trujillo,ambiente / educación / género / salud
887,Federacion Nativa Del Rio Madre De Dios Y Afluentes,Madre De Dios,Madre De Dios,Tambopata,agropecuario / ambiente / comercio y turismo / educación
888,Federacion Provincial De Mujeres De Ica,Ica,Ica,Ica,género
889,Fiat Agal Ong,Piura,Piura,Piura,ambiente
890,Ficus Peru Desarrollo Socio Ambiental,Lima,Lima,Santiago De Surco,ambiente / género
891,"Filomena Tomaira Pacsi, Servicios A La Mujer Minera",Lima,Lima,Jesus Maria,energía/extractiva / género / salud
892,Finca Peru,Ayacucho,Ayacucho,Ayacucho,producción
893,First World Education Proeducaris,Lambayeque,Lambayeque,Motupe,género
894,Fomento De Investigacion Y Accion Para El Desarrollo (Fiad),Piura,Piura,Piura,ambiente / educación / salud
895,Fomento De La Vida,Lima,Lima,Jesus Maria,ambiente / gobernabilidad / producción / vivienda y saneamiento
896,Fomento Y Desarrollo Ecologico De La Mineria,Lima,Lima,San Isidro,ambiente / educación
897,"Fomento Y Desarrollo Renovable En La Agricultura, El Agua Y La Energia",Lima,Lima,Miraflores,ambiente
898,Fondo De Agua Para Lima Y Callao - Aquafondo,Lima,Lima,San Isidro,educación
899,Fondo De Desarrollo De La Universidad De Huanuco,Huanuco,Huanuco,Huanuco,agropecuario / educación
900,Fondo Internacional De Ayuda A Mineros Artesanales - Fidamar,Lima,Lima,San Isidro,educación / inclusión social / salud
901,Fondo Nacional Civil En Defensa Del Ambiente Del Peru Asociacion Sin Fines De Lucro,Lima,Lima,San Martin De Porres,ambiente / educación
902,Fondo Verde Internacional,Junin,Junin,Huancayo,ambiente
903,Forest Shambhala,Cusco,Cusco,Wanchaq,educación
904,Foro Nacional Internacional,Lima,Lima,Santiago De Surco,educación / género / gobernabilidad
905,Forum Solidaridad Peru,Lima,Lima,Lince,educación
906,Foundation Non - Profit Association And Nongovernmental Organizations Saint Anthony Marianist Callao Peru For The Kids,Callao,Callao,La Perla,educación / género / salud
907,Fundacion Amazonia Viva,San Martin,San Martin,Juanjui,ambiente
908,Fundacion Calma,Lima,Lima,Jesus Maria,género
909,Fundacion Caridad Mundial,Lima,Lima,Carabayllo,educación / género
910,Fundacion Cayetano Heredia,Lima,Lima,Miraflores,ambiente / economía / educación / género / gobernabilidad / inclusión social / salud
911,Fundacion Cesar Acuña Peralta,La Libertad,La Libertad,Trujillo,género
912,Fundacion Comunal San Martin De Sechura,Piura,Piura,Sechura,ambiente
913,Fundacion Cordon Del Plata Del Peru,Lima,Lima,Miraflores,ambiente / educación
914,Fundacion Cristo Vive Peru,Cusco,Cusco,Cusco,género / inclusión social
915,Fundacion De Desarrollo Integral Y Sostenible,Ica,Ica,Pueblo Nuevo,educación / gobernabilidad
916,Fundacion Don Bosco,Lima,Lima,Breña,educación / inclusión social
917,Fundacion Eco Verde,Amazonas,Amazonas,Chachapoyas,agropecuario / producción
918,"Fundacion El Chico Laser, Ong",Lima,Lima,San Isidro,salud
919,Fundacion Hope Holanda Peru,Cusco,Cusco,Cusco,educación / gobernabilidad / vivienda y saneamiento
920,Fundacion Margarita,La Libertad,La Libertad,Trujillo,educación / salud
921,Fundacion Museo Amano,Lima,Lima,Miraflores,cultura / educación
922,Fundacion Nuestro Hogar A.N.A.R.,Lima,Lima,La Molina,educación / género / inclusión social
923,"Fundacion Oftalmologica Del Norte, Piura Peru",Piura,Piura,Piura,salud
924,Fundacion Olympic,Piura,Piura,Piura,educación / género
925,Fundacion Para El Desarrollo Agrario,Lima,Lima,Jesus Maria,agropecuario / educación
926,Fundacion Para El Desarrollo Solidario,Lima,Lima,Barranco,género / gobernabilidad / producción
927,"Fundacion Para La Vida, Vivienda Y Educacion",Puno,Puno,Juliaca,educación
928,Fundacion Por La Calidad De Vida De Los Mas Necesitados Chio Lecca,Lima,Lima,San Isidro,educación
929,Fundacion San Marcos Para El Desarrollo De La Ciencia Y La Cultura,Lima,Lima,San Isidro,educación / inclusión social
930,Fundacion Three Partners,Lima,Lima,Independencia,género
931,Fundacion Trujillo Para El Desarrollo Educativo Y Social,La Libertad,La Libertad,Trujillo,educación
932,Funderperu,Cajamarca,Cajamarca,Cajamarca,producción
933,Futuro Cajay - Peru,Lima,Lima,Los Olivos,educación / género
934,Futuro Sostenible,Lima,Lima,Miraflores,gobernabilidad / inclusión social
935,Gestion Del Conocimiento Para El Desarrollo - Warmi,La Libertad,La Libertad,Victor Larco Herrera,ambiente / salud
936,Global Humanitaria Peru,Puno,Puno,Puno,educación / salud
937,God´S Freedom Financial Del Peru Organismo No Gubernamental,Lima,Lima,Jesus Maria,educación / género
938,Good Life Private Club Inn,Lima,Lima,San Borja,género
939,Good Neighbors Peru,Lima,Lima,Ate,educación / género
940,Grupo De Analisis Para El Desarrollo,Lima,Lima,Barranco,educación / género / trabajo
941,Grupo De Apoyo Al Desarrollo Sostenible,Lima,Lima,San Martin De Porres,educación
942,Grupo De Formacion E Intervencion Para El Desarrollo Sostenible,Cajamarca,Cajamarca,Cajamarca,ciencia y tecnología / educación / género
943,Grupo De Iniciativa Nacional Por Los Derechos Del Niño,Lima,Lima,Magdalena Del Mar,género / justicia
944,Grupo Ecologico Barbara D'Achille Organizacion No Gubernamental,Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,agropecuario / ambiente / ciencia y tecnología / economía / educación / género / gobernabilidad
945,Grupo Gea,Lima,Lima,San Isidro,ambiente / educación / vivienda y saneamiento
946,Grupo Gestor Kipece,Lima,Lima,Barranco,educación / género / salud
947,Grupo Pro - Eco Progreso Y Ecologia,Lima,Lima,Santa Eulalia,ambiente / educación
948,"Grupo Vigencia, Organizacion De Apoyo Social Al Adulto Mayor O.N.G.",Lima,Lima,Santiago De Surco,género / inclusión social
949,Hampicamalloc,Callao,Callao,Callao,género
950,Hatun Soncco,Cusco,Cusco,Wanchaq,ambiente / educación / género
951,Hogar Clinica San Juan De Dios - Iquitos,Loreto,Loreto,Belen,género / gobernabilidad / salud
952,Hogar De Vida,Lima,Lima,Magdalena Del Mar,inclusión social / salud
953,Horizonte Corporativo,Lima,Lima,Miraflores,ambiente
954,Horizontes En Medio Ambiente Y Salud,Lima,Lima,Pueblo Libre,ambiente / gobernabilidad / salud
955,Huella Verde,Lima,Lima,Villa El Salvador,seguridad / vivienda y saneamiento
956,Humanismus Instituto Humanista,La Libertad,La Libertad,Victor Larco Herrera,género
957,Illa Tiksi,Lima,Lima,Lima,educación
958,Imfundo Kahle,Lima,Lima,Miraflores,educación / inclusión social
959,Incawasi - I.W.,Cajamarca,Cajamarca,Cajamarca,educación / salud
960,Indoamerica Libre,La Libertad,La Libertad,Trujillo,educación
961,Inka Terra Asociacion,Madre De Dios,Madre De Dios,Tambopata,ambiente / ciencia y tecnología
962,Inmed Andes,Lima,Lima,Jesus Maria,educación
963,Innovacion Y Progreso Juvenil Ucayali,Ucayali,Ucayali,Calleria,género / gobernabilidad
964,Innovaciones Para El Desarrollo Sostenible,Puno,Puno,Puno,agropecuario / género
965,Innovar Y Compartir,Lima,Lima,Los Olivos,educación
966,Inpet - Instituto De Promocion Del Desarrollo Solidario,Lima,Lima,San Juan De Lurigancho,ambiente / género / producción
967,Instituto  Cuanto,Lima,Lima,Magdalena Del Mar,ambiente
968,Instituto Apoyo,Lima,Lima,San Isidro,ambiente / educación / justicia / producción
969,Instituto Bartolome De Las Casas - Rimac,Lima,Lima,Lince,género / justicia
970,Instituto Beatriz Merino Lucero,Lima,Lima,San Isidro,educación / género / salud
971,Instituto Damos Vision,Lima,Lima,Jesus Maria,ciencia y tecnología / salud
972,Instituto De Animacion Campesina Luis Vallejos Santoni,Cusco,Cusco,San Sebastian,ambiente / salud
973,Instituto De Apoyo Al Manejo Del Agua De Riego - Costa Norte,Lambayeque,Lambayeque,Chiclayo,ciencia y tecnología / trabajo
974,Instituto De Apoyo Social Y Desarrollo Rural Sostenible Del Peru,Apurimac,Apurimac,Andahuaylas,ambiente / educación
975,Instituto De Apoyo Social Y Promocion Del Desarrollo Humano Vidas Mejores,Lima,Lima,San Miguel,agropecuario / ambiente / ciencia y tecnología / economía / educación / género / gobernabilidad / inclusión social / producción / salud / trabajo
976,Instituto De Apoyo Y Desarrollo Social Blansal,Arequipa,Arequipa,Cayma,ambiente / ciencia y tecnología / economía / género / gobernabilidad / inclusión social / salud / trabajo
977,Instituto De Conservacion Ambiental Y Desarrollo Humano Sostenible Peru,Lima,Lima,Lima,ambiente / educación
978,Instituto De Conservacion Del Patrimonio Construido,La Libertad,La Libertad,Trujillo,ambiente / educación
979,Instituto De Cultivos Tropicales,San Martin,San Martin,La Banda De Shilcayo,agropecuario
980,Instituto De Cultura Y Politica,Lima,Lima,San Isidro,educación / género
981,Instituto De Defensa De Desarrollo Economico Y Derechos Humanos,Lima,Lima,Lima,educación / transportes y comunicaciones
982,Instituto De Defensa Legal,Lima,Lima,San Isidro,ciencia y tecnología / género / gobernabilidad / justicia
983,"Instituto De Desarrollo Agroindustrial, Social, Economico Y Ambiental De Selva Central",Junin,Junin,Perene,ambiente / vivienda y saneamiento
984,Instituto De Desarrollo Agropecuario Y Servicios Asistenciales,Huanuco,Huanuco,Huanuco,agropecuario / ambiente
985,Instituto De Desarrollo Ambiental Y Social,Lambayeque,Lambayeque,Jose Leonardo Ortiz,educación / género / salud
986,Instituto De Desarrollo Comunal Urbano Marginal,Junin,Junin,El Tambo,agropecuario / ambiente
987,Instituto De Desarrollo De La Pequeña Y Micro Empresa De La Region Grau,Piura,Piura,Piura,producción
988,Instituto De Desarrollo Del Sector Informal De Huanuco,Huanuco,Huanuco,Huanuco,producción
989,Instituto De Desarrollo Del Sector Informal De La Region Arequipa,Arequipa,Arequipa,Arequipa,producción
990,Instituto De Desarrollo Del Sector Informal De Lambayeque,Lambayeque,Lambayeque,Chiclayo,agropecuario
991,Instituto De Desarrollo Del Sector Informal Para La Libertad,La Libertad,La Libertad,Trujillo,educación / producción / trabajo
992,Instituto De Desarrollo E Investigacion Rural,Apurimac,Apurimac,Abancay,producción
993,"Instituto De Desarrollo Economico Ambiental Y Social ""Sin Limites""",Amazonas,Amazonas,Bagua,ambiente / educación / género
994,Instituto De Desarrollo Economico Empresarial Social Y Agroindustrial,Lima,Lima,San Juan De Lurigancho,agropecuario
995,Instituto De Desarrollo Educativo Y Social Markayachay,Huanuco,Huanuco,Amarilis,agropecuario / educación / gobernabilidad / inclusión social
996,Instituto De Desarrollo Empresarial Y Academico,Ancash,Ancash,Huaraz,educación
997,Instituto De Desarrollo Etico De America,Lima,Lima,Miraflores,ambiente / vivienda y saneamiento
998,Instituto De Desarrollo Humano Seguir Creciendo - Ong,Moquegua,Moquegua,Moquegua,educación / género
999,Instituto De Desarrollo Local Huancayo,Huanuco,Huanuco,Amarilis,género
1000,Instituto De Desarrollo Multidisciplinario Para La Amazonia,San Martin,San Martin,La Banda De Shilcayo,ambiente / educación / salud
1001,Instituto De Desarrollo Para La Inclusion Social Purisunchis,Cusco,Cusco,San Sebastian,educación / género / inclusión social
1002,Instituto De Desarrollo Regional Cesar Vallejo,La Libertad,La Libertad,Trujillo,ambiente / género / producción / salud
1003,Instituto De Desarrollo Rural - Juli,Puno,Puno,Juli,educación / género
1004,Instituto De Desarrollo Urbano,Lima,Lima,Jesus Maria,ambiente / producción / vivienda y saneamiento
1005,Instituto De Desarrollo Y Medio Ambiente,Lima,Lima,Surquillo,ambiente / economía / educación / salud
1006,Instituto De Desarrollo Y Promocion De La Industria De Las Confecciones Textiles Y Calzado De Ucayali - Idp,Ucayali,Ucayali,Calleria,trabajo
1007,"Instituto De Desarrollo, Investigacion Y Progreso - Ong´D",Huancavelica,Huancavelica,Pilchaca,agropecuario / ambiente / ciencia y tecnología / educación / género / gobernabilidad / inclusión social / producción / trabajo
1008,Instituto De Educacion Rural (Ier - Juli),Puno,Puno,Juli,género
1009,Instituto De Educacion Y Salud,Lima,Lima,Jesus Maria,educación / género / gobernabilidad / inclusión social / salud
1010,Instituto De Estudios Andinos Democracia Y Justicia,Junin,Junin,Tarma,ambiente / educación / género / justicia / salud
1011,Instituto De Estudios Aymara Ludovico Bertonio,Arequipa,Arequipa,Arequipa,educación
1012,Instituto De Estudios De Las Culturas Andinas - Peru,Puno,Puno,Puno,educación
1013,"Instituto De Estudios En Salud, Sexualidad Y Desarrollo Humano",Lima,Lima,Miraflores,salud
1014,Instituto De Estudios Peruanos,Lima,Lima,Jesus Maria,educación / género
1015,Instituto De Estudios Por La Infancia Y La Familia,Lima,Lima,Jesus Maria,educación / género
1016,Instituto De Fomento De Una Educacion De Calidad,Lima,Lima,Pueblo Libre,ambiente / educación / salud / trabajo
1017,Instituto De Fomento Tecnologico Y Cooperacion Rural Andino,Puno,Puno,Puno,ambiente / inclusión social
1018,"Instituto De Formacion Agropecuaria, Agroindustrial, Artesanal Y Cultural",Puno,Puno,Puno,agropecuario / economía
1019,Instituto De Formacion De Adolescentes Y Niños Trabajadores Nagayama Norio (Infant),Lima,Lima,San Juan De Miraflores,género
1020,"Instituto De Formacion De Educadores De Jovenes, Adolescentes Y Niños Trabajadores Para America Latina Y El Caribe ""Monseñor German Schmitz""",Lima,Lima,Lince,educación / género / gobernabilidad
1021,"Instituto De Formacion Social, Comunicacion Y Juventud",Moquegua,Moquegua,Torata,género
1022,Instituto De Gestion De Cuencas Hidrograficas,Piura,Piura,Piura,agropecuario / ambiente / ciencia y tecnología / economía / género / gobernabilidad / producción / trabajo
1023,Instituto De Gestion Gubernamental Y Estudios Amazonicos,San Martin,San Martin,Tarapoto,educación / salud
1024,Instituto De Innovacion Digital,Lima,Lima,Jesus Maria,producción
1025,Instituto De Integracion Y Desarrollo Social,Huanuco,Huanuco,Huanuco,educación
1026,Instituto De Investigacion Biologica De Las Cordilleras Orientales,San Martin,San Martin,Tarapoto,ambiente
1027,Instituto De Investigacion Gubernamental Por El Desarrollo Humano Y Economico - Idhe,Ayacucho,Ayacucho,Ayacucho,ambiente / inclusión social
1028,Instituto De Investigacion Nutricional,Lima,Lima,La Molina,ciencia y tecnología / economía / educación / género / gobernabilidad / inclusión social / salud
1029,Instituto De Investigacion Para El Desarrollo Integral-Mundo Cristiano Ongd,Lima,Lima,Lima,agropecuario / género
1030,Instituto De Investigacion Para El Desarrollo Rural Agroindustrial Y Medio Ambiente,Puno,Puno,Puno,ambiente / economía / educación / género / gobernabilidad / producción / salud / trabajo / vivienda y saneamiento
1031,Instituto De Investigacion Y Desarrollo Andino,Apurimac,Apurimac,Tamburco,ambiente / economía / educación / género / gobernabilidad / salud
1032,Instituto De Investigacion Y Desarrollo Andino - Amazonico,Cusco,Cusco,Wanchaq,agropecuario
1033,Instituto De Investigacion Y Desarrollo Economico Social Desarrollo Y  Paz,La Libertad,La Libertad,Trujillo,agropecuario / ambiente / ciencia y tecnología / comercio y turismo / economía / educación / género / gobernabilidad / justicia / producción / salud / trabajo / vivienda y saneamiento
1034,Instituto De Investigacion Y Desarrollo Regional,Junin,Junin,El Tambo,educación / género / inclusión social / salud
1035,"Instituto De Investigacion Y Desarrollo Social ""Policushum Cuscalla""",Junin,Junin,Chilca,educación
1036,Instituto De Investigacion Y Desarrollo Socioeconomico Para La Amazonia Peruana,San Martin,San Martin,Tarapoto,ambiente / vivienda y saneamiento
1037,Instituto De Investigacion Y Promocion Social Del Norte,La Libertad,La Libertad,Trujillo,inclusión social / salud / trabajo / vivienda y saneamiento
1038,"Instituto De Investigacion, Capacitacion Y Promocion (Iincap) Jorge Basadre",Cajamarca,Cajamarca,Cajamarca,ambiente / género
1039,"Instituto De Investigacion, Desarrollo Y Asistencia Tecnica",La Libertad,La Libertad,La Esperanza,ambiente / educación / salud
1040,"Instituto De Investigacion, Desarrollo, Concertacion Y Cultura De Paz",Lima,Lima,Santiago De Surco,ambiente / género
1041,Instituto De Investigaciones Para El Desarrollo Tecnologico Y Social,Huanuco,Huanuco,Rupa-Rupa,ambiente / educación / gobernabilidad / inclusión social / producción
1042,Instituto De Liderazgo Y Desarrollo,San Martin,San Martin,Rioja,educación / salud
1043,Instituto De Medio Ambiente Y Genero Para El Desarrollo,Cusco,Cusco,Wanchaq,ambiente
1044,Instituto De Pedagogia Popular,Lima,Lima,Pueblo Libre,educación / género
1045,Instituto De Prevencion Y Rehabilitacion Oftalmologica De La Selva,San Martin,San Martin,La Banda De Shilcayo,educación / salud
1046,"Instituto De Promocion De La Mujer, Infancia Y Familia",Lima,Lima,Pueblo Libre,educación / género / gobernabilidad / justicia
1047,Instituto De Promocion Para La Gestion Del Agua,Lima,Lima,Jesus Maria,ambiente / trabajo
1048,Instituto De Promocion Y Desarrollo Andino Llancasun,Apurimac,Apurimac,Talavera,agropecuario / ciencia y tecnología / economía / educación / salud
1049,Instituto De Promocion Y Desarrollo Ozono,Lambayeque,Lambayeque,Pimentel,educación / producción
1050,Instituto De Promocion Y Desarrollo Sostenible De La Pequeña Empresa (Indespe),Lima,Lima,Santiago De Surco,género
